Nome;Rodada;Custo;Tempo
burma14;2;3323;0.006
burma14;3;3323;0.008
burma14;4;3323;0.007
burma14;5;3323;0.007
burma14;6;3323;0.008
burma14;7;3323;0.010
burma14;8;3323;0.008
burma14;9;3323;0.008
burma14;10;3323;0.010
ch130;1;6110;18.994
ch130;2;6110;16.349
ch130;3;6110;17.228
ch130;4;6110;16.341
ch130;5;6110;16.724
ch130;6;6110;15.280
ch130;7;6110;16.541
ch130;8;6110;17.147
ch130;9;6110;17.334
ch130;10;6110;15.816
ch150;1;6528;14.755
ch150;2;6528;14.870
ch150;3;6528;15.394
ch150;4;6528;14.810
ch150;5;6528;16.416
ch150;6;6528;16.133
ch150;7;6528;15.044
ch150;8;6528;15.194
ch150;9;6528;16.320
ch150;10;6528;14.109
d198;1;15780;49.253
d198;2;15780;49.288
d198;3;15780;45.562
d198;4;15780;48.544
d198;5;15780;46.962
d198;6;15780;43.928
d198;7;15780;46.918
d198;8;15780;50.526
d198;9;15780;49.500
d198;10;15780;48.106
d493;1;35034;1715.628
d493;2;35030;1788.879
d493;3;35025;1843.352
d493;4;35020;1819.714
d493;5;35066;1752.736
d493;6;35047;1714.862
d493;7;35029;1796.277
d493;8;35039;1831.906
d493;9;35024;1828.985
d493;10;35055;1848.068
dantzig42;1;699;0.275
dantzig42;2;699;0.257
dantzig42;3;699;0.248
dantzig42;4;699;0.259
dantzig42;5;699;0.250
dantzig42;6;699;0.258
dantzig42;7;699;0.241
dantzig42;8;699;0.249
dantzig42;9;699;0.254
dantzig42;10;699;0.244
eil101;1;629;6.900
eil101;2;629;6.760
eil101;3;629;6.176
eil101;4;629;6.437
eil101;5;629;6.199
eil101;6;629;6.022
eil101;7;629;6.065
eil101;8;629;6.761
eil101;9;629;6.332
eil101;10;629;6.187
eil51;1;426;0.522
eil51;2;426;0.495
eil51;3;426;0.507
eil51;4;426;0.555
eil51;5;426;0.514
eil51;6;426;0.552
eil51;7;426;0.510
eil51;8;426;0.496
eil51;9;426;0.526
eil51;10;426;0.516
eil76;1;538;2.360
eil76;2;538;2.285
eil76;3;538;2.382
eil76;4;538;2.369
eil76;5;538;2.257
eil76;6;538;2.186
eil76;7;538;2.268
eil76;8;538;2.272
eil76;9;538;2.327
eil76;10;538;2.356
fl417;1;11861;680.045
fl417;2;11861;717.161
fl417;3;11861;672.568
fl417;4;11861;607.339
fl417;5;11861;604.795
fl417;6;11861;581.121
fl417;7;11861;591.781
fl417;8;11861;597.404
fl417;9;11861;601.277
fl417;10;11861;582.852
fri26;1;937;0.056
fri26;2;937;0.060
fri26;3;937;0.054
fri26;4;937;0.057
fri26;5;937;0.056
fri26;6;937;0.054
fri26;7;937;0.056
fri26;8;937;0.055
fri26;9;937;0.052
fri26;10;937;0.053
gil262;1;2378;157.032
gil262;2;2380;159.575
gil262;3;2379;157.157
gil262;4;2378;156.488
gil262;5;2378;156.885
gil262;6;2378;150.077
gil262;7;2378;157.697
gil262;8;2378;152.293
gil262;9;2378;152.917
gil262;10;2378;149.993
gr120;1;6942;13.307
gr120;2;6942;12.717
gr120;3;6942;13.953
gr120;4;6942;13.003
gr120;5;6942;12.936
gr120;6;6942;12.306
gr120;7;6942;12.308
gr120;8;6942;11.707
gr120;9;6942;13.534
gr120;10;6942;13.949
gr137;1;69853;15.549
gr137;2;69853;16.659
gr137;3;69853;16.135
gr137;4;69853;16.223
gr137;5;69853;16.355
gr137;6;69853;14.746
gr137;7;69853;16.103
gr137;8;69853;14.991
gr137;9;69853;15.761
gr137;10;69853;16.701
gr17;1;2085;0.012
gr17;2;2085;0.013
gr17;3;2085;0.014
gr17;4;2085;0.014
gr17;5;2085;0.015
gr17;6;2085;0.012
gr17;7;2085;0.011
gr17;8;2085;0.012
gr17;9;2085;0.012
gr17;10;2085;0.012
gr202;1;40161;55.257
gr202;2;40160;50.244
gr202;3;40160;53.389
gr202;4;40160;52.110
gr202;5;40160;54.903
gr202;6;40160;53.769
gr202;7;40161;53.787
gr202;8;40160;52.035
gr202;9;40160;53.224
gr202;10;40161;51.747
gr21;1;2707;0.021
gr21;2;2707;0.020
gr21;3;2707;0.020
gr21;4;2707;0.022
gr21;5;2707;0.020
gr21;6;2707;0.020
gr21;7;2707;0.020
gr21;8;2707;0.021
gr21;9;2707;0.023
gr21;10;2707;0.022
gr229;1;134602;88.722
gr229;2;134602;91.421
gr229;3;134602;96.209
gr229;4;134602;88.338
gr229;5;134616;96.529
gr229;6;134602;93.622
gr229;7;134602;92.474
gr229;8;134602;87.689
gr229;9;134656;83.023
gr229;10;134602;98.266
gr24;1;1272;0.040
gr24;2;1272;0.040
gr24;3;1272;0.035
gr24;4;1272;0.037
gr24;5;1272;0.041
gr24;6;1272;0.037
gr24;7;1272;0.036
gr24;8;1272;0.035
gr24;9;1272;0.035
gr24;10;1272;0.034
gr431;1;171448;1083.965
gr431;2;171489;1092.620
gr431;3;171558;1143.194
gr431;4;171559;1024.780
gr431;5;171473;1105.486
gr431;6;171502;1194.412
gr431;7;171609;1162.281
gr431;8;171461;1164.124
gr431;9;171468;1127.659
gr431;10;171647;1065.963
gr48;1;5046;0.482
gr48;2;5046;0.415
gr48;3;5046;0.424
gr48;4;5046;0.413
gr48;5;5046;0.437
gr48;6;5046;0.400
gr48;7;5046;0.441
gr48;8;5046;0.412
gr48;9;5046;0.413
gr48;10;5046;0.425
gr96;1;55209;5.063
gr96;2;55209;4.774
gr96;3;55209;4.965
gr96;4;55209;4.973
gr96;5;55209;5.082
gr96;6;55209;4.888
gr96;7;55209;5.129
gr96;8;55209;5.093
gr96;9;55209;4.915
gr96;10;55209;4.798
hk48;1;11461;0.447
hk48;2;11461;0.429
hk48;3;11461;0.442
hk48;4;11461;0.456
hk48;5;11461;0.418
hk48;6;11461;0.436
hk48;7;11461;0.441
hk48;8;11461;0.427
hk48;9;11461;0.432
hk48;10;11461;0.421
kroA100;1;21282;4.864
kroA100;2;21282;5.019
kroA100;3;21282;5.122
kroA100;4;21282;5.065
kroA100;5;21282;5.188
kroA100;6;21282;4.730
kroA100;7;21282;4.979
kroA100;8;21282;5.194
kroA100;9;21282;4.969
kroA100;10;21282;5.081
kroA150;1;26524;16.112
kroA150;2;26524;17.195
kroA150;3;26524;16.998
kroA150;4;26524;16.583
kroA150;5;26524;15.234
kroA150;6;26524;16.339
kroA150;7;26524;16.294
kroA150;8;26524;16.946
kroA150;9;26524;16.504
kroA150;10;26524;18.008
kroA200;1;29368;51.844
kroA200;2;29368;51.921
kroA200;3;29368;54.278
kroA200;4;29368;49.921
kroA200;5;29368;55.897
kroA200;6;29368;46.495
kroA200;7;29368;51.391
kroA200;8;29368;48.141
kroA200;9;29368;49.206
kroA200;10;29368;53.401
